,Movie_Name,Ratings,Release_Date,Duration,Original_Language,Description,Box Office,Certificate (MPAA),Month,Category_Encoded,Film_Actor_Encoded,Writer_Encoded,Companies_Encoded,Directors_Encoded
1065,533,0.82,2005-04-08,156,8,2117,92181574,7,4,365,1681,1366,1682,936
1066,534,0.58,2017-12-22,135,5,536,55003890,7,12,347,598,65,474,441
1067,535,0.74,2019-09-20,122,5,1892,194694725,5,9,338,1240,628,1925,857
1068,536,0.74,2022-05-20,124,5,1893,92651384,5,5,338,2315,628,1935,22
1070,537,0.72,1962-10-10,110,5,481,16120643,5,10,1,1163,1212,1845,86
1073,538,0.83,1964-01-29,95,5,992,9631984,5,1,302,921,1429,684,38
1074,539,0.62,2014-10-10,92,5,1028,217124280,6,10,113,505,856,977,458
1075,540,0.66,2009-05-29,99,5,337,90843550,6,5,378,2179,1323,1092,1095
1076,541,0.69,2019-03-22,159,5,1705,660132,7,3,91,671,1316,720,1090
1082,542,0.25,2009-04-10,85,5,2066,55720772,5,4,65,279,1270,939,551
1087,543,0.66,2006-12-25,130,5,601,155456301,6,12,330,1546,1592,1789,96
1088,544,0.71,2012-09-21,95,5,1448,41037742,7,9,79,294,538,1705,973
1089,545,0.71,1980-07-25,104,5,393,31899000,7,7,358,697,1757,1904,215
1090,546,0.78,2011-09-16,100,5,392,79747261,7,9,118,1083,238,1898,920
1093,547,0.67,1999-07-23,97,5,533,10571408,6,7,269,377,764,303,867
1095,548,0.6,2002-12-13,118,5,59,57588485,6,12,273,823,1387,1960,253
1096,549,0.55,2000-12-15,83,5,2170,73180723,6,12,261,913,1153,945,328
1097,550,0.76,1971-11-13,90,5,89,2544,5,11,80,1973,1217,1113,71
1098,551,0.69,2023-09-29,105,5,1148,20703794,7,9,302,894,716,1381,302
1099,552,0.73,1994-12-16,107,5,783,247290327,6,12,207,130,1125,265,981
1100,553,0.63,1984-12-14,137,5,28,30985338,6,12,3,409,88,1759,348
1101,554,0.8,2021-10-22,155,5,1720,407673628,6,10,50,1343,560,1208,374
1102,555,0.85,2024-03-01,166,5,1721,714444358,6,3,50,1345,2124,1208,374
1104,556,0.72,2023-03-31,134,5,100,205187763,6,3,42,1784,572,478,638
1105,557,0.78,2017-07-21,106,5,868,530432122,6,7,107,2155,1914,736,284
1106,558,0.65,1991-07-19,107,5,2109,4603929,6,7,302,2060,499,950,980
1108,559,0.96,2024-09-03,94,5,1385,4800000,7,9,302,1175,1363,961,4
1109,560,0.79,1982-06-11,115,5,604,797307407,5,6,222,2300,881,1111,71
1112,561,0.66,2008-09-26,118,5,1561,178767383,6,9,80,1197,485,1784,308
1114,562,0.55,1989-05-12,100,5,52,3916303,5,5,257,2186,632,1723,720
1117,563,0.76,2007-09-21,100,5,584,56107312,7,9,335,784,1486,42,334
1118,564,0.7,2010-09-17,92,5,2227,75032374,6,9,282,2124,1415,622,176
1119,565,0.72,1969-06-26,95,5,2138,124600,7,6,224,918,1127,367,378
1124,566,0.79,2014-06-06,113,5,538,377044245,6,6,3,1384,1909,1276,396
1125,567,0.79,1990-12-14,105,5,2011,86024005,6,12,352,219,1562,953,103
1126,568,0.53,2002-11-27,76,5,1147,23833131,6,11,247,638,1775,1662,8
1127,569,0.74,2018-08-03,93,5,971,14347433,7,8,302,2101,1633,1498,142
1128,570,0.59,2023-12-08,97,5,735,1673665,7,12,332,1325,783,1876,183
1132,571,0.47,2005-01-14,97,5,920,56995646,6,1,66,94,832,901,1036
1133,572,0.7,2023-06-16,101,5,1262,496444308,5,6,150,423,493,1152,990
1136,573,0.71,2003-11-07,97,5,1749,229818534,5,11,198,1523,2029,317,680
1138,574,0.74,1999-02-19,124,5,1950,82150642,7,2,365,1722,917,517,18
1139,575,0.63,2004-04-09,96,5,1220,27388767,5,4,311,504,718,210,139
1142,576,0.73,2022-06-24,159,5,1979,288670284,6,6,330,1399,1178,1294,1064
1143,577,0.66,2013-08-09,109,5,1508,286140700,7,8,106,590,995,842,911
1146,578,0.69,2024-11-13,132,23,1222,8847805,7,11,256,1579,299,1337,531
1148,579,0.67,2022-08-12,97,5,1177,2157673,7,8,335,937,531,1860,665
1149,580,0.67,2020-03-06,124,5,1347,25932444,5,3,282,709,16,1351,974
1154,581,0.77,1987-12-25,153,5,672,22239121,5,12,365,1805,1607,1325,71
1155,582,0.72,2021-11-24,102,5,948,261288175,5,11,245,1238,1821,1132,560
1156,583,0.71,2007-11-21,107,5,701,340487869,5,11,146,2389,1504,1141,749
1158,584,0.58,1999-11-24,122,5,1054,211989043,7,11,121,819,492,1369,984
1159,585,0.76,2012-09-21,109,5,1821,55078146,7,9,107,2376,2025,1865,333
1161,586,0.66,2013-11-01,114,5,2383,125544024,6,11,3,2260,124,705,462
1162,587,0.49,1981-07-17,116,5,1718,32492674,7,7,338,1661,1348,520,434
1164,588,0.75,2001-03-16,131,5,48,96976270,7,3,118,259,377,383,571
1165,589,0.73,1998-11-20,132,5,329,250849789,7,11,80,1540,2074,800,146
1168,590,0.72,2010-05-05,161,5,877,806517,4,5,354,798,121,1874,461
1170,591,0.24,2007-01-26,86,5,546,87238158,6,1,201,288,363,325,562
1171,592,0.73,2002-12-06,107,5,1454,5368217,7,12,106,1811,703,1747,757
1172,593,0.73,1978-02-03,89,5,1334,25700,4,2,308,2361,2067,21,348
1174,594,0.74,2000-03-17,131,5,227,256271286,7,3,365,265,1516,1076,70
1175,595,0.57,1988-11-11,95,5,1226,28202109,5,11,312,150,2174,810,667
1176,596,0.67,2013-10-18,115,5,2279,137328301,7,10,107,1280,966,707,884
1177,597,0.64,2019-01-04,99,5,1830,155712077,6,1,76,1308,1746,1577,202
1179,598,0.71,1981-07-10,99,5,1381,25275806,7,7,3,403,473,1703,633
1180,599,0.83,2004-03-19,108,5,2325,73399488,7,3,336,133,1841,1920,879
1181,600,0.63,2021-11-05,156,5,2007,402064899,6,11,68,2188,1851,161,255
1184,601,0.66,2004-02-20,92,5,1184,22605153,7,2,325,1151,2087,1798,580
1186,602,0.66,1997-08-15,96,5,476,26677289,7,8,374,421,1149,483,965
1187,603,0.71,1998-07-31,121,5,1889,98005666,6,7,338,2027,1514,953,696
1188,604,0.71,2015-09-25,121,5,1689,203427584,6,9,210,48,1694,1350,996
1192,605,0.69,2016-04-07,117,5,1375,4644472,7,4,325,1610,1210,139,1030
1193,606,0.78,2022-04-08,139,5,374,143412671,7,4,38,739,1996,1496,320
1195,607,0.65,2013-04-05,91,5,1246,97542952,7,4,378,34,67,859,425
1196,608,0.65,2023-04-21,96,5,607,147033054,7,4,319,764,729,1729,771
